"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"Harvard / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4745651850299,-73.6240357160568,3.4702,6,6,19.8,0.7
"de Bleury / de Maisonneuve","Ville-Marie",45.5071063243396,-73.5686105489731,15.1021833333333,9,2,15.7,0
"Fullum / Ontario","Ville-Marie",45.5303174,-73.5548669,2.11381666666667,9,6,16.4,0
"Labadie / du Parc","Le Plateau-Mont-Royal",45.5198946757576,-73.5968273878098,10.5951,10,1,1.2,0
"Henri-Julien / du Carmel","Le Plateau-Mont-Royal",45.5279509378701,-73.5950232669711,16.9345,9,4,20.1,0
"Milton / du Parc","Le Plateau-Mont-Royal",45.5093614283513,-73.5738636553288,3.43795,7,1,20.9,0.4
"de St-Vallier / St-Zotique","Rosemont - La Petite-Patrie",45.5364343386303,-73.6078342797555,8.04293333333333,10,5,10.3,3.9
"Ball / Bloomfield","Villeray—Saint-Michel—Parc-Extension",45.5299969970634,-73.6328709125519,4.9693,9,5,20.3,0
"St-Denis / Ste-Catherine","Ville-Marie",45.5137229122146,-73.5603104531765,12.0743333333333,9,6,19.5,0
"Métro Jean-Talon (Berri / Jean-Talon)","Villeray—Saint-Michel—Parc-Extension",45.5390003643266,-73.6142510175705,3.10876666666667,10,5,17.1,0
"Mackay / de Maisonneuve","Ville-Marie",45.496840189747,-73.5792407642475,5.72005,5,3,10.2,0.4
"Square St-Louis (du Square St-Louis / Laval)","Le Plateau-Mont-Royal",45.5160908019707,-73.5701286792755,5.88455,10,1,12,3.8
"Ropery / Augustin-Cantin","Le Sud-Ouest",45.4809755262928,-73.5686346888542,7.20153333333333,5,5,20.3,0.6
"Harvard / de Monkland","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4745651850299,-73.6240357160568,9.25726666666667,6,3,16.7,0
"Boyer / Rosemont","Rosemont - La Petite-Patrie",45.5340986680406,-73.5955345630646,12.5191833333333,7,2,22.6,0
"Hotel-de-Ville / du Mont-Royal","Le Plateau-Mont-Royal",45.5221780041457,-73.5846085846424,2.95528333333333,6,4,20.2,4.3
"St-Dominique / Gounod","Villeray—Saint-Michel—Parc-Extension",45.5385915732697,-73.6277800798416,7.02265,7,5,21,0
"Milton / du Parc","Le Plateau-Mont-Royal",45.5093614283513,-73.5738636553288,44.02085,8,4,23.6,0
"de l'Esplanade / du Mont-Royal","Le Plateau-Mont-Royal",45.5182529085522,-73.5883381962776,14.1676333333333,7,3,24.8,0
"Durocher / Sherbrooke","Le Plateau-Mont-Royal",45.5070882905057,-73.5722798109055,39.3642333333333,6,6,14.8,0.3
"Ste-Catherine / St-Mathieu","Ville-Marie",45.4938469014278,-73.5791784524918,6.88526666666667,6,7,22.2,0.5
"Parc de la Confédération (Fielding / West Hill)","Côte-des-Neiges - Notre-Dame-de-Grâce",45.4718819935861,-73.6400216817856,46.9376666666667,7,6,22.2,0
"Marcil / Sherbrooke","Côte-des-Neiges - Notre-Dame-de-Grâce",45.471743,-73.613924,9.18835,10,4,6.7,3.6
"de Mentana / Marie-Anne","Le Plateau-Mont-Royal",45.5260265652214,-73.5778588056564,8.9263,8,2,15.5,1.7
"Place des Festivals (du Président-Kennedy / de Bleury)","Ville-Marie",45.5076439296589,-73.569324016571,9.61568333333333,5,1,21.8,22.9
"des Pins / Hutchison","Le Plateau-Mont-Royal",45.5108002894856,-73.5782209038734,5.42443333333333,7,2,22.6,0
"Chomedey / de Maisonneuve","Ville-Marie",45.491750449904,-73.5839447379112,6.58828333333333,8,7,20.4,0.9
"Square St-Louis (du Square St-Louis / Laval)","Le Plateau-Mont-Royal",45.5160908019707,-73.5701286792755,14.1177666666667,7,6,23.1,1.9
"Prince-Arthur / du Parc","Le Plateau-Mont-Royal",45.5104446575336,-73.5755842924118,16.648,5,5,20.3,0.6
"Querbes / Laurier","Outremont",45.5175030620307,-73.5979061480793,7.88856666666667,6,4,27.2,1.3
"Peel / Ottawa","Le Sud-Ouest",45.4941995535705,-73.5599845647812,11.9123333333333,9,1,13.7,0.2
"St-Dominique / St-Zotique","Rosemont - La Petite-Patrie",45.532264610185,-73.6110632121563,19.0244833333333,7,2,22.6,0
"Querbes / Laurier","Outremont",45.5175030620307,-73.5979061480793,9.77801666666667,8,2,18.6,0.3
"de l'Hotel-de-Ville / Ontario","Ville-Marie",45.5137452022244,-73.5666632652283,22.8447166666667,6,7,15.8,0.6
"Cartier / Rosemont","Rosemont - La Petite-Patrie",45.541247223706,-73.5910445451736,11.09055,7,2,21.8,0.7
"St-Dominique / St-Zotique","Rosemont - La Petite-Patrie",45.532264610185,-73.6110632121563,5.57223333333333,10,6,12.5,3.1
"St-Dominique / Laurier","Le Plateau-Mont-Royal",45.5236149031145,-73.5924573987722,19.1946333333333,6,4,15,1.6
"Bibliothèque de Verdun (Brown / Bannantyne)","Verdun",45.4487884154916,-73.5776731000078,39.0280166666667,8,3,19.2,0
"Drummond / des-Canadiens-de-Montréal","Ville-Marie",45.4967606775214,-73.5702763560084,8.42236666666667,8,3,18.1,0.2
"Clark / Rachel","Le Plateau-Mont-Royal",45.5175374492075,-73.5824152455461,11.0249833333333,10,7,13.1,1.4
"de Bleury / de Maisonneuve","Ville-Marie",45.5071063243396,-73.5686105489731,10.8475,9,5,16.6,0
"Parc St-Patrick (St-Patrick / St-Columban)","Le Sud-Ouest",45.4887078515095,-73.5589931719369,5.1556,6,3,16.7,0
"André-Laurendeau / Rachel","Rosemont - La Petite-Patrie",45.5430318724388,-73.5625648498535,12.9708333333333,7,1,20.9,0.4
"Bishop / Ste-Catherine","Ville-Marie",45.496597761984,-73.5765028497917,5.46658333333333,7,1,25.3,0
"d'Orléans / Hochelaga","Mercier - Hochelaga-Maisonneuve",45.5506320674022,-73.5491222392193,10.8240833333333,6,5,18.9,4.3
